latitude,logitude,id
47.62244,-122.35672,897598
47.61223,-122.33853,26893
47.61805,-122.33645,1509734
47.62561,-122.351288,3445681
47.61534,-122.34176,11969
47.61785,-122.19406,17082451
47.60959,-122.34157,36514
47.61275,-122.33402,58703
47.60681,-122.33349,23764
47.610352,-122.341388,13187434
47.61165,-122.33339,28274
47.60772,-122.33936,2163007
47.60831,-122.33481,20230
47.61318,-122.34009,16950
47.61381,-122.33686,28647
47.60733,-122.33246,25015
47.614746,-122.34484,2330513
47.60682,-122.33358,62800
47.61807,-122.34055,16934
47.60477,-122.33632,6227
47.62468,-122.35673,201051
47.609703,-122.326637,2635458
47.61978,-122.34632,17066
47.611895,-122.341921,9490029
47.601726,-122.335231,25221
47.60889,-122.326252,21924
47.62332,-122.35542,5483
47.61752,-122.33951,16349
47.65949,-122.31781,889335
47.60461,-122.19071,41884
47.65778,-122.31781,27593
47.61013,-122.19067,3546
47.67559,-122.20411,1627321
47.609508,-122.329441,14633844
47.43801,-122.29583,28646
47.44065,-122.29589,25953
47.666153,-122.382873,6224796
47.610786,-122.342153,9607542
47.66929,-122.10588,873933
47.60985,-122.33475,50947
47.65755,-122.20648,104382
47.60326,-122.33607,16892583
47.43976,-122.29579,28275
47.81734,-122.29099,897642
47.70867,-122.33292,1424
47.61001,-122.18809,84894
47.60477,-122.33631,1495139
47.43459,-122.29741,22289
47.64275,-122.20011,10456
47.778145,-122.181069,447788
47.547802,-122.321365,4444333
47.561349,-122.377448,7953
47.61387,-122.34131,6839
47.607457,-122.32804,12786064
47.41617,-122.29722,22893
47.60719,-122.33519,15125
47.61976,-122.34503,13140
47.57788,-122.16428,119241
47.66143,-122.31429,19023
47.43201,-122.29538,6716
47.615582,-122.185634,40271
47.40179,-122.32587,21980
47.614685,-122.337723,13287983
47.70401,-122.17756,1467
47.78282,-122.34385,15481
47.82096,-122.28862,16976
47.69499,-122.34451,1834371
47.57755,-122.13193,127040
47.76861,-122.18498,20110
47.61993,-122.34761,15570361
47.613291,-122.331838,15418557
47.603147,-122.33635,9591845
47.80978,-122.38515,904672
47.402213,-122.297632,1113933
47.657417,-122.347253,10146396
47.58098,-122.13584,856
47.61271,-122.33407,546475
47.45298,-122.29511,554676
47.73291,-122.14649,536525
47.47079,-122.21791,18729
47.45145,-122.29576,14917
47.712272,-122.177263,1025
47.623321,-122.362332,13147146
47.61328,-122.333277,2309333
47.46416,-122.26833,41119
47.619239,-122.338456,12723374
47.79131,-122.22051,662013
47.79589,-122.21074,330299
47.37762,-122.24266,455328
47.611241,-122.340942,13192126
47.61309,-122.33788,16673
47.66339,-122.30088,11672
47.61252,-122.35013,11133
47.82102,-122.27433,84785
47.63521,-122.13211,119242
47.82323,-122.28173,40278
47.45906,-122.24443,34105
47.41217,-122.25575,2424
47.62539,-122.34497,41107
47.43588,-122.28773,2299843
47.618157,-122.348648,15275779
47.61017,-122.33357,25290
47.628089,-122.312552,3800975
47.40106,-122.22801,1338989
47.60789,-122.33145,18518
47.610773,-122.342024,14676396
47.82125,-122.30886,1334281
47.455367,-122.293801,980990
47.61882,-122.34502,3568411
47.39967,-122.22961,119199
47.44932,-122.29625,5005
47.707715,-122.178607,996394
47.620185,-122.347637,9844402
47.76688,-122.154471,16516448
47.38224,-122.26122,24987
47.605217,-122.319423,982533
47.61016,-122.34651,911767
47.55199,-122.06039,982536
47.725486,-122.342297,910311
47.416834,-122.288384,988788
47.698049,-122.344645,12410858
47.46906,-122.23426,117076
47.60667,-122.33164,14405
47.61356,-122.34939,16008253
47.779633,-122.313675,126123
47.616774,-122.332464,11546353
47.447444,-122.257147,9197672
47.62545,-122.34753,41106
47.62761,-122.33995,202730
47.459619,-122.288129,201279
47.61993,-122.34236,805793
47.61762,-122.32971,795921
47.60688,-122.33361,284304
47.60923,-122.33271,7910
47.61983,-122.35944,119085
47.65546,-122.31326,912641
47.62078,-122.34375,64175
47.612495,-122.193575,8419638
47.62092,-122.34367,79381
47.623852,-122.363246,14710926
47.61318,-122.32982,28273
47.48598,-122.26976,41120
47.69072,-122.34453,1533431
47.46385,-122.21847,278758
47.607675,-122.339458,13192121
47.771349,-122.345971,7090
47.699202,-122.344668,10144074
47.44751,-122.29631,16164
47.47696,-122.28361,1784753
47.666505,-122.383283,4849228
47.65844,-122.28367,3585783
47.47029,-122.28631,22081
47.553598,-122.334102,8083474
47.614899,-122.311825,15241662
47.58081,-122.15468,1852256
47.60237,-122.33265,3299932
47.661462,-122.315472,10621943
47.75365,-122.092413,13012406
47.46981,-122.25343,904173
47.400508,-122.297245,13009512
47.60353,-122.3321,1736119
47.60689,-122.19081,4497
47.61105,-122.19086,9803
47.432792,-122.29812,5027392
47.673732,-122.12955,2703047
47.61564,-122.20167,1340651
47.612217,-122.186184,8655974
47.654898,-122.34722,8263036
47.42954,-122.29556,14179
47.70896,-122.17798,67109
47.60254,-122.18547,1880512
47.43512,-122.29551,1833
47.73126,-122.34513,895875
47.63381,-122.14578,21362
47.401523,-122.2279,26086
47.58148,-122.13277,14411
47.42664,-122.29661,473102
47.41848,-122.29685,446884
47.421395,-122.296619,18304
47.55003,-122.05723,11100
47.44534,-122.29181,6679
47.62641,-122.33401,1770
47.797958,-122.332843,64281
47.72871,-122.34504,24911
47.39504,-122.22802,16956
47.48249,-122.19435,39905
47.45893,-122.24441,20179
47.546858,-122.065683,11544514
47.46167,-122.24499,118958
47.633821,-122.145889,22988
47.74675,-122.04881,2796135
47.54577,-122.06453,1580604
47.542005,-121.83597,4779
47.698859,-122.328432,15849777
47.820796,-122.26793,2976408
47.46495,-122.24676,890149
47.45795,-122.24411,327442
47.41685,-122.29699,63691
47.711184,-122.190513,1503685
47.44533,-122.29478,26032
47.46264,-122.24514,306745
47.775171,-122.12671,6650076
47.467793,-122.245683,20843
47.67208,-122.12149,202671
47.444394,-122.296126,3918
47.43031,-122.296,9678746
47.73628,-122.34519,1293279
47.795409,-122.216984,3145304
47.40159,-122.22802,67854
47.46351,-122.21845,127044
47.428166,-122.29578,15129
47.614831,-122.340943,17630
47.79056,-122.21308,863975
47.63805,-122.31978,16377518
47.45511,-122.26248,20455
47.810629,-122.293599,25579
47.62161,-122.34375,58713
47.533701,-122.194936,889771
47.79131,-122.21464,27970
47.82295,-122.27098,127039
47.834462,-122.269873,6772222
47.42643,-122.29598,41109
47.67083,-122.12151,1066319
47.63351,-122.14621,43096
47.43099,-122.29673,1214
47.45422,-122.25434,17100
47.81734,-122.28992,280903
47.45662,-122.24381,6772
47.44656,-122.21833,40222
47.83405,-122.26931,1803
47.76913,-122.18086,11690
47.43406,-122.29559,787151
47.439727,-122.243734,203699
47.485396,-122.195992,1108290
47.413309,-122.252501,3681037
47.46281,-122.22172,484870
47.447521,-122.29448,41110
47.47872,-122.28421,200733
47.38121,-122.25728,17146
47.43332,-122.27519,980977
47.366383,-122.305132,10240847
47.532103,-122.069404,9985588
47.371928,-122.036763,5038804
47.608328,-122.328819,12723302
47.61479,-122.34887,1312192
47.612585,-122.34913,14633503
47.615155,-122.33961,6099310
47.616981,-122.349098,12720924
47.67373,-122.10327,17171067
47.62065,-122.34121,17129180
47.610085,-122.324271,14692282
47.625943,-122.342358,12016226
47.61921,-122.19678,16891310
47.62609,-122.36844,17394901
47.396335,-122.29537,472290
47.37708,-122.29942,119198
47.610067,-122.32424,12786381
47.430954,-122.294511,459910
47.609071,-122.329764,15355058
47.614658,-122.337699,1810255
47.60939,-122.33289,1852257
47.614564,-122.340704,8131953
47.61122,-122.340938,9329975
47.60611,-122.33875,16835635
47.61317,-122.33208,16357706
47.59923,-122.32765,16408346
47.61306,-122.33314,16358227
47.64279,-122.32688,17238916
47.64129,-122.35614,17249574
47.62772,-122.34267,17267435
47.59737,-122.31095,17276567
47.62772,-122.34267,17266805
47.60217,-122.30153,17249575
47.67857,-122.32584,17279566
47.67857,-122.32584,17271453
47.67857,-122.32584,17271452
47.61297,-122.33263,17237299
47.59737,-122.31095,17276571
47.62772,-122.34267,17267438
47.62772,-122.34267,17285656
47.61279,-122.34894,17261567
47.59537,-122.30731,3780253
47.47915,-122.283378,13233712
47.62772,-122.34267,17267426
47.67857,-122.32584,17288180
47.67857,-122.32584,17276581
47.60217,-122.30153,17236476
47.62772,-122.34267,17266809
47.67857,-122.32584,17279565
47.621548,-122.360635,17290531
47.61297,-122.33263,17289808
47.62772,-122.34267,17266810
47.62772,-122.34267,17228848
47.61279,-122.34894,17261570
47.59737,-122.31095,17276570
47.61465,-122.32433,17295006
47.59737,-122.31095,17276573
47.61297,-122.33263,17289756
47.61297,-122.33263,17289542
47.61297,-122.33263,17298137
47.61297,-122.33263,17237398
47.63886,-122.40178,17247473
47.62772,-122.34267,17267433
47.61279,-122.34894,17261568
47.62772,-122.34267,17285658
47.67209,-122.35667,17288987
47.6463,-122.3527,17235074
47.621519,-122.360646,17290532
47.62772,-122.34267,17267437
47.63097,-122.3076,17333429
47.59737,-122.31095,17276565
47.59737,-122.31095,17276566
47.61465,-122.32433,17295007
47.59737,-122.31095,17276569
47.61324,-122.31911,17118255
47.61297,-122.33263,17289717
47.67857,-122.32584,17288188
47.762593,-122.207507,12654999
47.67857,-122.32584,17276576
47.61279,-122.34894,17261569
47.59737,-122.31095,17276572
47.67857,-122.32584,17276579
47.62772,-122.34267,17266806
47.67857,-122.32584,17279567
47.621488,-122.360643,17290533
47.61465,-122.32433,17298393
47.61104,-122.34118,17118292
47.61297,-122.33263,17238917
47.610152,-122.199448,13211774
47.61866,-122.19363,328330
47.542955,-122.05711,15799606
47.60005,-122.33415,16502326
47.45078,-122.37429,1634227
47.61476,-122.207043,2666428
47.46284,-122.22007,546136
47.61841,-122.20173,12648
47.47871,-122.284169,3547
47.61742,-122.19348,1160157
